	accountNumber	customerId	creditLimit	availableMoney	transactionDateTime	transactionAmount	merchantName	acqCountry	merchantCountryCode	posEntryMode	posConditionCode	merchantCategoryCode	currentExpDate	accountOpenDate	dateOfLastAddressChange	cardCVV	enteredCVV	cardLast4Digits	transactionType	isFraud	echoBuffer	currentBalance	merchantCity	merchantState	merchantZip	cardPresent	posOnPremises	recurringAuthInd	expirationDateKeyInMatch	currentBalanceDiff
387	738735439	738735439	500.0	442.47	2016-07-30 04:19:38	57.53	In-N-Out #545716	US	US	02	01	fastfood	11/2027	2014-02-15	2016-05-20	729	729	6074	REVERSAL	0.0		57.53				1.0			0.0	57.53
485	341692686	341692686	7500.0	7416.82	2016-07-10 14:49:52	74.33	Franks Sandwitch Bar	US	US	09	08	food	04/2022	2015-04-13	2015-04-13	349	349	340	REVERSAL	0.0		83.18				1.0			0.0	74.33000000000001
496	206257508	206257508	15000.0	12514.37	2016-05-05 15:30:24	6.36	Uber	US	US	05	08	rideshare	10/2031	2013-10-15	2016-02-09	447	447	4308	REVERSAL	0.0		2485.63				0.0			0.0	6.360000000000127
521	457546727	457546727	500.0	441.16	2016-09-29 14:15:36	58.84	Shell Gas #661122	US	US	05	01	fuel	07/2028	2015-07-30	2015-07-30	394	394	5770	PURCHASE	0.0		58.84				1.0			0.0	58.84
524	457546727	457546727	500.0	441.16	2016-12-24 03:36:44	58.84	Shell Gas #661122	US	US	05	01	fuel	07/2028	2015-07-30	2015-07-30	394	394	5770	PURCHASE	0.0		58.84				1.0			0.0	58.84
564	843407721	843407721	500.0	444.07	2016-05-04 01:32:35	54.34	walmart.com	US	US	05	01	online_retail	03/2031	2013-05-30	2013-05-30	580	580	7895	REVERSAL	0.0		55.93				0.0			0.0	54.339999999999996
566	843407721	843407721	500.0	133.26	2016-05-23 18:34:10	22.44	oldnavy.com	US	US	09	08	online_retail	02/2025	2013-05-30	2013-05-30	580	580	7895	REVERSAL	0.0		366.74				0.0			0.0	22.439999999999998
665	868922407	868922407	2500.0	2437.92	2016-11-22 15:43:29	76.34	Shell Gas #494785	US	US	09	01	fuel	08/2031	2015-03-22	2015-03-22	675	675	864	PURCHASE	0.0		62.08				1.0			0.0	62.08
666	868922407	868922407	2500.0	2437.92	2016-12-21 02:58:46	79.93	Shell Gas #494785	US	US	09	01	fuel	08/2031	2015-03-22	2015-03-22	675	675	864	PURCHASE	0.0		62.08				1.0			0.0	62.08
717	767113679	767113679	1000.0	701.29	2016-05-07 07:29:19	7.76	Hilton Hotels #720012	US	US	05	08	hotels	10/2022	2010-10-13	2010-10-13	436	436	6154	REVERSAL	0.0		298.71				1.0			0.0	7.759999999999991
722	767113679	767113679	1000.0	739.93	2016-05-20 10:48:22	260.07	Renaissance Hotel #475265	US	US	05	01	hotels	10/2026	2010-10-13	2010-10-13	436	436	6154	REVERSAL	0.0		260.07				1.0			0.0	260.07
728	767113679	767113679	1000.0	433.31	2016-06-07 04:54:52	153.34	Rodeway Inn #43522	US	US	05	08	hotels	06/2022	2010-10-13	2010-10-13	436	436	6154	REVERSAL	0.0		566.69				1.0			0.0	153.34000000000003
812	744064422	744064422	250.0	155.46	2016-05-21 03:05:51	94.54	alibaba.com	US	US	02	08	online_retail	10/2022	2015-01-27	2015-01-27	964	964	9962	REVERSAL	0.0		94.54				0.0			0.0	94.54
829	687925084	687925084	20000.0	17630.82	2016-02-18 11:29:32	161.98	Regal Cinemas #05791	US	US	09	01	entertainment	07/2025	2015-06-12	2015-06-12	850	850	7488	REVERSAL	0.0		2369.18				1.0			0.0	161.98000000000002
836	639996000	639996000	20000.0	19587.85	2016-05-01 14:16:08	412.15	Boston Diner	US	US	09	01	food	08/2031	2015-11-25	2015-11-25	268	268	9380	REVERSAL	0.0		412.15				0.0			0.0	412.15
837	639996000	639996000	20000.0	19694.97	2016-05-22 15:44:56	32.05	EZ Putt Putt #40513	US	US	05	01	entertainment	07/2018	2015-11-25	2015-11-25	268	268	9380	REVERSAL	0.0		305.03				1.0			0.0	32.049999999999955
852	325370845	325370845	1000.0	120.06	2016-09-05 06:57:05	74.37	1st Sandwitch Bar #941288	US	US	05	01	food	10/2020	2015-03-14	2015-03-14	692	692	8189	REVERSAL	0.0		879.94				1.0			0.0	74.37
1061	398189423	398189423	250.0	223.31	2016-10-20 22:17:09	3.92	Best Pub	US	US	09	01	food	06/2022	2012-06-13	2016-04-26	742	742	9484	REVERSAL	0.0		26.69				1.0			0.0	3.9200000000000017
1078	398189423	398189423	250.0	186.7	2016-11-14 11:02:11	12.74	South Drive in	US	US	05	01	food	10/2021	2012-06-13	2016-04-26	742	742	9484	REVERSAL	0.0		63.3				1.0			0.0	12.739999999999995
1111	492565763	492565763	7500.0	6524.44	2016-01-03 18:50:41	212.08	amazon.com	US	US	80	01	online_retail	08/2029	2015-10-27	2015-10-27	911	911	3882	REVERSAL	0.0		975.56				0.0			0.0	212.07999999999993
1113	492565763	492565763	7500.0	2480.99	2016-01-18 07:41:19	74.51	Lyft	US	US	09	08	rideshare	10/2028	2015-10-27	2015-10-27	911	911	3882	REVERSAL	0.0		5019.01				0.0			0.0	74.51000000000022
1117	492565763	492565763	7500.0	3137.63	2016-02-17 04:04:33	124.53	Uber	US	US	05	01	rideshare	05/2019	2015-10-27	2015-10-27	256	256	3194	REVERSAL	0.0		4362.37				0.0			0.0	124.52999999999975
1129	492565763	492565763	7500.0	2719.45	2016-06-22 18:05:20	37.29	Uber	US	US	02	01	rideshare	03/2029	2015-10-27	2016-06-16	256	256	3194	REVERSAL	0.0		4780.55				0.0			0.0	37.289999999999964
1142	492565763	492565763	7500.0	6936.42	2016-09-29 16:42:41	40.63	Shake Shack #178952	US	US	02	01	fastfood	01/2023	2015-10-27	2016-09-22	256	256	6772	REVERSAL	0.0		563.58				1.0			0.0	40.629999999999995
1153	492565763	492565763	7500.0	5595.42	2016-12-08 01:57:26	60.25	Quizno's #906442	US	US	05	01	fastfood	06/2018	2015-10-27	2016-10-25	256	256	3194	REVERSAL	0.0		1904.58				1.0			0.0	60.25
1209	263336052	263336052	15000.0	1787.3	2016-09-15 20:47:40	42.91	1st BBQ	US	US	02	01	food	06/2030	2014-09-03	2016-06-05	539	539	5541	REVERSAL	0.0		13212.7				1.0			0.0	42.909999999999854
1215	478576307	478576307	10000.0	9940.38	2016-05-22 06:03:26	71.28	Texas Gas #772050	US	US	05	08	fuel	05/2028	2010-05-30	2010-05-30	722	722	4098	PURCHASE	0.0		59.62				1.0			0.0	59.62
1216	478576307	478576307	10000.0	9937.81	2016-06-20 11:55:49	62.19	Texas Gas #772050	US	US	05	08	fuel	05/2028	2010-05-30	2010-05-30	722	722	4098	PURCHASE	0.0		62.19				1.0			0.0	62.19
1217	478576307	478576307	10000.0	9937.81	2016-07-18 10:01:39	60.79	Texas Gas #772050	US	US	05	08	fuel	05/2028	2010-05-30	2010-05-30	722	722	4098	PURCHASE	0.0		62.19				1.0			0.0	62.19
1220	478576307	478576307	10000.0	9938.12	2016-10-23 21:30:02	71.81	Texas Gas #772050	US	US	05	08	fuel	05/2028	2010-05-30	2010-05-30	722	722	4098	PURCHASE	0.0		61.88				1.0			0.0	61.88
1223	126060531	126060531	5000.0	1827.37	2016-04-28 03:02:54	175.93	sears.com	US	US	05	01	online_retail	06/2027	2011-12-01	2016-04-25	860	860	3887	REVERSAL	0.0		3172.63				0.0			0.0	175.9300000000003
1230	969249796	969249796	500.0	141.84	2016-03-09 00:27:33	119.38	walmart.com	US	US	05	01	online_retail	09/2019	2011-05-22	2011-05-22	900	900	4044	REVERSAL	0.0		358.16				0.0			0.0	119.38000000000002
1303	482116034	482116034	250.0	102.34	2016-08-03 12:34:37	103.33	Uber	US	US	05	01	rideshare	07/2022	2013-03-06	2013-03-06	449	449	1787	REVERSAL	0.0		147.66				0.0			0.0	103.33
1355	987144605	987144605	2500.0	2277.87	2016-11-19 14:13:04	0.4	Lyft	US	US	05	01	rideshare	10/2021	2014-11-09	2014-11-09	278	278	7085	PURCHASE	0.0		222.13				0.0			0.0	222.13
1394	795062501	795062501	2500.0	588.19	2016-03-23 19:00:31	333.57	amazon.com	US	US	05	01	online_retail	10/2029	2015-12-25	2015-12-25	740	740	193	REVERSAL	0.0		1911.81				0.0			0.0	333.56999999999994
1408	795062501	795062501	2500.0	532.82	2016-08-22 15:10:58	863.69	apple.com	US	US	09	01	online_retail	04/2025	2015-12-25	2015-12-25	740	740	193	REVERSAL	0.0		1967.18				0.0			0.0	863.69
1419	753278309	753278309	5000.0	4151.6	2016-03-09 03:59:16	44.5	alibaba.com	US	US	02	01	online_retail	08/2026	2011-06-09	2011-06-09	619	619	5351	REVERSAL	0.0		848.4				0.0			0.0	44.5
1431	909486620	909486620	20000.0	19517.84	2016-01-24 13:47:54	482.16	Pizza Hut #640086	US	US	05	01	fastfood	09/2031	2014-10-13	2014-10-13	650	650	6100	REVERSAL	0.0		482.16				1.0			0.0	482.16
1452	689712359	689712359	5000.0	3610.05	2016-08-09 12:10:45	124.16	Next Day Online Services	US	US	09	01	online_gifts	02/2024	2015-06-02	2015-06-02	273	273	0000	REVERSAL	0.0		1389.95				0.0			0.0	124.16000000000008
1454	689712359	689712359	5000.0	4208.28	2016-09-12 06:36:44	34.53	Blue Mountain eCards	US	US	05	01	online_gifts	03/2023	2015-06-02	2015-06-02	273	273	0000	REVERSAL	0.0		791.72				0.0			0.0	34.52999999999997
1478	548642066	548642066	20000.0	16952.74	2016-09-22 04:13:13	632.73	EZ Putt Putt #503815	US	US	05	01	entertainment	03/2020	2014-11-19	2014-11-19	936	936	9640	REVERSAL	0.0		3047.26				1.0			0.0	632.73
1480	858528314	858528314	7500.0	6560.7	2016-01-13 23:02:13	26.1	Next Day Online Services	US	US	09	01	online_gifts	05/2023	2015-06-21	2015-06-21	144	144	4562	REVERSAL	0.0		939.3				0.0			0.0	26.09999999999991
1481	858528314	858528314	7500.0	911.48	2016-03-01 21:11:17	103.26	Annies Fries	US	US	05	01	food	02/2028	2015-06-21	2015-06-21	144	144	4562	REVERSAL	0.0		6588.52				1.0			0.0	103.26000000000022
1490	858528314	858528314	7500.0	4143.93	2016-08-07 11:41:40	227.14	Blue Mountain eCards	US	US	05	08	online_gifts	06/2029	2015-06-21	2016-03-16	144	144	4562	REVERSAL	0.0		3356.07				0.0			0.0	227.14000000000033
1505	543046230	543046230	15000.0	14535.01	2016-01-10 01:27:48	179.52	South Steakhouse #157238	US	US	09	01	food	05/2021	2015-09-21	2015-09-21	305	305	4428	REVERSAL	0.0		464.99				1.0			0.0	179.51999999999998
1543	715174660	715174660	15000.0	6137.08	2016-07-20 17:48:56	90.47	EZ Putt Putt #982199	US	US	05	01	entertainment	04/2020	2014-02-15	2014-02-15	334	334	7828	REVERSAL	0.0		8862.92				0.0			0.0	90.46999999999935
1553	295327303	295327303	50000.0	46294.38	2016-03-23 07:56:53	121.18	apple.com	US	US	05	01	online_retail	03/2023	2015-08-01	2015-08-01	846	846	9072	REVERSAL	0.0		3705.62				0.0			0.0	121.17999999999984
1569	183099175	183099175	15000.0	14946.3	2016-08-27 14:29:46	42.81	Shell Gas #11287	US	US	05	01	fuel	04/2024	2014-11-11	2014-11-11	779	779	2094	PURCHASE	0.0		53.7				1.0			0.0	53.7
1592	488618823	488618823	250.0	177.14	2016-03-26 13:56:38	89.73	staples.com	US	US	05	01	online_retail	05/2029	2014-03-28	2014-03-28	888	888	5401	PURCHASE	0.0		72.86				0.0			0.0	72.86
1639	231182459	231182459	15000.0	13221.5	2016-04-19 23:13:00	73.58	34th BBQ #412895	US	US	05	01	food	12/2019	2013-10-18	2013-10-18	453	453	2343	REVERSAL	0.0		1778.5				1.0			0.0	73.57999999999993
1661	702631787	702631787	20000.0	19958.97	2016-08-21 14:20:58	41.03	Sunoco Gas #373211	US	US	05	01	fuel	07/2025	2014-04-11	2014-04-11	789	789	6147	PURCHASE	0.0		41.03				1.0			0.0	41.03
1685	461031328	461031328	2500.0	2119.78	2016-01-06 23:10:55	380.22	Regal Cinemas #05791	US	US	09	01	entertainment	12/2020	2013-11-12	2013-11-12	483	483	3008	REVERSAL	0.0		380.22				1.0			0.0	380.22
1702	461031328	461031328	2500.0	1071.53	2016-07-16 03:25:53	105.48	AMC #74121	US	US	02	08	entertainment	06/2020	2013-11-12	2016-04-04	483	483	3008	REVERSAL	0.0		1428.47				1.0			0.0	105.48000000000002
1737	152875055	152875055	250.0	244.1	2016-11-14 18:10:12	313.31	Uber	US	US	05	01	rideshare	03/2022	2015-10-03	2016-06-25	221	221	5009	PURCHASE	0.0		5.9				0.0			0.0	5.9
1754	331350937	331350937	1000.0	440.67	2016-03-21 16:25:36	44.86	target.com	US	US	05	01	online_retail	02/2020	2013-08-19	2013-08-19	900	900	8092	REVERSAL	0.0		559.33				0.0			0.0	44.860000000000014
1757	331350937	331350937	1000.0	371.38	2016-04-05 05:37:47	177.84	gap.com	US	US	09	01	online_retail	11/2028	2013-08-19	2013-08-19	900	900	8092	REVERSAL	0.0		628.62				0.0			0.0	177.84000000000003
1765	331350937	331350937	1000.0	186.12	2016-05-29 23:24:44	54.79	gap.com	US	US	05	01	online_retail	01/2032	2013-08-19	2013-08-19	286	286	2135	REVERSAL	0.0		813.88				0.0			0.0	54.789999999999964
1771	331350937	331350937	1000.0	117.55	2016-07-10 09:43:06	80.51	target.com	US	US	09	01	online_retail	09/2020	2013-08-19	2013-08-19	286	286	2135	REVERSAL	0.0		882.45				0.0			0.0	80.50999999999999
1788	331350937	331350937	1000.0	97.4	2016-09-25 16:32:27	199.33	oldnavy.com	US	US	05	01	online_retail	10/2025	2013-08-19	2013-08-19	900	900	8092	REVERSAL	0.0		902.6				0.0			0.0	199.33000000000004
1795	331350937	331350937	1000.0	143.86	2016-11-04 07:41:19	99.66	oldnavy.com	US	US	09	08	online_retail	05/2024	2013-08-19	2013-08-19	900	900	8092	REVERSAL	0.0		856.14				0.0			0.0	99.65999999999997
1813	238076591	238076591	7500.0	7488.44	2016-10-31 19:55:24	11.56	hulu.com	US	US	02	01	online_subscriptions	07/2019	2011-07-21	2011-07-21	111	111	8326	PURCHASE	0.0		11.56				0.0			0.0	11.56
1829	525352013	525352013	20000.0	19468.66	2016-04-11 16:19:19	414.67	Blue Mountain eCards	US	US	05	01	online_gifts	08/2019	2015-12-12	2015-12-12	408	408	2899	PURCHASE	0.0		531.34				0.0			0.0	531.34
1892	351092180	351092180	2500.0	243.12	2016-12-22 22:22:14	118.43	Uber	US	US	05	01	rideshare	12/2025	2015-08-18	2015-08-18	565	565	4204	REVERSAL	0.0		2256.88				0.0			0.0	118.43000000000029
1970	458394120	458394120	5000.0	734.5	2016-08-23 01:47:26	447.6	Lyft	US	US	05	08	rideshare	06/2030	2014-10-09	2014-10-09	613	613	9939	REVERSAL	0.0		4265.5				0.0			0.0	447.5999999999999
1982	407393355	407393355	7500.0	3588.83	2016-10-06 04:00:20	80.17	Regal Cinemas #729464	US	US	02	01	entertainment	02/2020	2015-09-23	2015-09-23	793	793	7443	REVERSAL	0.0		3911.17				1.0			0.0	80.17000000000007
1983	407393355	407393355	7500.0	2420.85	2016-11-07 03:55:54	67.06	AMC #706324	US	US	09	01	entertainment	05/2022	2015-09-23	2015-09-23	793	793	7443	REVERSAL	0.0		5079.15				1.0			0.0	67.05999999999949
2076	824423647	824423647	2500.0	637.5	2016-04-06 15:04:28	87.76	amazon.com	US	US	09	01	online_retail	02/2025	2014-08-22	2016-03-06	226	226	6606	REVERSAL	0.0		1862.5				0.0			0.0	87.75999999999999
2087	824423647	824423647	2500.0	1360.42	2016-04-24 17:53:02	92.58	AMC #191138	US	US	05	08	entertainment	04/2019	2014-08-22	2016-03-06	226	226	6606	REVERSAL	0.0		1139.58				1.0			0.0	92.57999999999993
2163	824423647	824423647	2500.0	371.79	2016-09-05 05:02:38	243.32	EZ Putt Putt #503815	US	US	05	01	entertainment	06/2018	2014-08-22	2016-07-07	226	226	6606	REVERSAL	0.0		2128.21				1.0			0.0	243.31999999999994
2175	824423647	824423647	2500.0	1632.62	2016-09-26 02:04:43	46.55	EZ Putt Putt #755869	US	US	02	01	entertainment	09/2025	2014-08-22	2016-07-07	226	226	6606	REVERSAL	0.0		867.38				1.0			0.0	46.549999999999955
2183	824423647	824423647	2500.0	1344.45	2016-10-07 05:33:05	114.35	AMC #145832	US	US	05	01	entertainment	02/2025	2014-08-22	2016-07-07	226	226	6606	REVERSAL	0.0		1155.55				1.0			0.0	114.34999999999991
2192	824423647	824423647	2500.0	574.25	2016-10-20 20:50:29	238.85	walmart.com	US	US	05	01	online_retail	01/2030	2014-08-22	2016-07-07	226	226	6606	REVERSAL	0.0		1925.75				0.0			0.0	238.8499999999999
2195	824423647	824423647	2500.0	1008.38	2016-10-24 04:01:21	122.29	ebay.com	US	US	05	01	online_retail	10/2019	2014-08-22	2016-07-07	226	226	6606	REVERSAL	0.0		1491.62				0.0			0.0	122.28999999999996
2214	824423647	824423647	2500.0	1165.83	2016-11-20 22:31:15	397.93	EZ Putt Putt #240241	US	US	02	01	entertainment	03/2021	2014-08-22	2016-11-20	226	226	6606	REVERSAL	0.0		1334.17				1.0			0.0	397.93000000000006
2215	824423647	824423647	2500.0	1499.04	2016-11-22 08:36:33	12.14	Regal Cinemas #276341	US	US	05	01	entertainment	11/2028	2014-08-22	2016-11-20	226	226	6606	REVERSAL	0.0		1000.96				1.0			0.0	12.139999999999986
2233	824423647	824423647	2500.0	197.1	2016-12-18 11:40:09	22.69	EZ Putt Putt #69446	US	US	90	01	entertainment	08/2020	2014-08-22	2016-11-20	226	226	6606	REVERSAL	0.0		2302.9				1.0			0.0	22.690000000000055
2243	824423647	824423647	2500.0	1241.16	2016-12-30 03:53:31	125.27	ebay.com	US	US	09	01	online_retail	11/2019	2014-08-22	2016-12-27	226	226	6606	REVERSAL	0.0		1258.84				0.0			0.0	125.26999999999998
2251	921644140	921644140	5000.0	666.92	2016-11-20 07:50:22	101.33	apple.com	US	US	05	01	online_retail	08/2026	2015-05-14	2015-05-14	643	643	8751	REVERSAL	0.0		4333.08				0.0			0.0	101.32999999999993
2270	237642418	237642418	7500.0	6730.36	2016-01-03 06:13:50	583.91	ebay.com	US	US	80	01	online_retail	12/2030	2014-05-15	2014-05-15	854	854	1198	REVERSAL	0.0		769.64				0.0			0.0	583.91
2273	237642418	237642418	7500.0	1968.24	2016-09-26 22:45:10	157.0	Uber	US	US	09	01	rideshare	07/2020	2014-05-15	2014-05-15	854	854	1198	REVERSAL	0.0		5531.76				0.0			0.0	157.0
2291	379203135	379203135	5000.0	2181.36	2016-07-07 22:03:34	433.14	Icelandic Airlines	US	US	09	01	airline	11/2023	2006-10-09	2006-10-09	655	655	6810	REVERSAL	1.0		2818.64				0.0			0.0	433.1399999999999
2302	878527525	878527525	5000.0	3957.27	2016-03-14 12:33:46	60.67	Tim Hortons #637576	US	US	05	08	fastfood	07/2023	2014-03-30	2016-03-03	916	906	7853	REVERSAL	0.0		1042.73				1.0			0.0	60.67000000000007
2312	878527525	878527525	5000.0	4873.02	2016-09-03 03:02:48	71.35	Domino's Pizza #362208	US	US	09	01	fastfood	12/2020	2014-03-30	2016-03-03	544	544	8683	REVERSAL	0.0		126.98				1.0			0.0	71.35
2316	878527525	878527525	5000.0	2752.58	2016-10-26 20:10:55	209.26	Dunkin' Donuts #458393	US	US	09	08	fastfood	01/2030	2014-03-30	2016-03-03	544	544	8683	REVERSAL	0.0		2247.42				1.0			0.0	209.26
2319	878527525	878527525	5000.0	4966.32	2016-12-01 20:38:32	24.99	Burger King #968126	US	US	80	01	fastfood	05/2024	2014-03-30	2016-03-03	544	544	8683	REVERSAL	0.0		33.68				1.0			0.0	24.990000000000002
2320	878527525	878527525	5000.0	4559.29	2016-12-04 09:31:23	279.84	Popeyes #255909	US	US	05	08	fastfood	05/2030	2014-03-30	2016-03-03	916	916	7853	REVERSAL	0.0		440.71				1.0			0.0	279.84
2321	878527525	878527525	5000.0	3369.4	2016-12-13 23:57:39	36.18	KFC #960686	US	US	02	01	fastfood	11/2025	2014-03-30	2016-03-03	764	764	7695	REVERSAL	0.0		1630.6				1.0			0.0	36.179999999999836
2328	383968028	383968028	7500.0	4286.08	2016-03-26 21:29:19	23.23	pottery-barn.com	US	US	05	01	furniture	03/2022	2011-01-18	2016-03-26	780	780	4558	REVERSAL	0.0		3213.92				1.0			0.0	23.230000000000018
2336	383968028	383968028	7500.0	5248.14	2016-09-23 23:54:52	223.09	Dallas Journal	US	US	09	01	subscriptions	05/2025	2011-01-18	2016-09-13	794	794	5785	REVERSAL	0.0		2251.86				0.0			0.0	223.09000000000015
2341	182040771	182040771	7500.0	4328.84	2016-01-06 16:46:32	110.88	Franks Restaurant	US	US	05	01	food	03/2024	2012-03-21	2012-03-21	323	323	7308	REVERSAL	0.0		3171.16				1.0			0.0	110.87999999999965
2342	182040771	182040771	7500.0	3555.14	2016-01-07 14:33:10	126.89	Ray's Fries #24425	US	US	05	01	food	04/2021	2012-03-21	2012-03-21	323	323	7308	REVERSAL	0.0		3944.86				1.0			0.0	126.89000000000033
2344	182040771	182040771	7500.0	1165.24	2016-01-12 14:50:53	43.12	Uber	US	US	05	01	rideshare	01/2026	2012-03-21	2012-03-21	323	323	7308	REVERSAL	0.0		6334.76				0.0			0.0	43.11999999999989
2345	182040771	182040771	7500.0	927.33	2016-01-13 14:50:18	11.04	Next Day eCards	US	US	05	01	online_gifts	02/2019	2012-03-21	2012-03-21	323	323	7308	REVERSAL	0.0		6572.67				0.0			0.0	11.039999999999964
2355	182040771	182040771	7500.0	3136.28	2016-02-17 20:07:48	164.74	Lyft	US	US	05	01	rideshare	04/2020	2012-03-21	2016-02-03	323	323	7308	REVERSAL	0.0		4363.72				0.0			0.0	164.7400000000007
2361	182040771	182040771	7500.0	6069.15	2016-03-08 17:09:02	112.55	Dinosaur Sandwitch Bar #08794	US	US	05	01	food	12/2021	2012-03-21	2016-02-03	323	323	7308	REVERSAL	0.0		1430.85				0.0			0.0	112.54999999999995
2371	182040771	182040771	7500.0	1810.82	2016-04-06 10:35:23	32.76	South Steakhouse #485411	US	US	05	01	food	04/2021	2012-03-21	2016-02-03	323	323	7308	REVERSAL	0.0		5689.18				0.0			0.0	32.76000000000022
2376	182040771	182040771	7500.0	882.9	2016-04-29 08:27:46	122.72	John's Cafe		US	09	01	food	10/2027	2012-03-21	2016-02-03	323	323	7308	REVERSAL	0.0		6617.1				1.0			0.0	122.72000000000025
2381	182040771	182040771	7500.0	1259.92	2016-05-08 00:18:08	32.25	Lyft	US	US	09	01	rideshare	11/2029	2012-03-21	2016-02-03	323	323	7308	REVERSAL	0.0		6240.08				0.0			0.0	32.25
2384	182040771	182040771	7500.0	1800.78	2016-05-25 22:32:11	216.76	South Steakhouse #796913	US	US	05	01	food	07/2030	2012-03-21	2016-02-03	323	323	7308	REVERSAL	0.0		5699.22				1.0			0.0	216.76000000000022
2390	182040771	182040771	7500.0	2235.1	2016-06-15 17:41:37	1389.09	1st Sandwitch Bar #801388	US	US	02	01	food	02/2028	2012-03-21	2016-02-03	323	323	7308	REVERSAL	0.0		5264.9				1.0			0.0	1389.0899999999997
2400	182040771	182040771	7500.0	2862.23	2016-07-14 13:37:09	188.06	Franks Cafe	US	US	05	08	food	08/2021	2012-03-21	2016-06-23	323	323	7308	REVERSAL	0.0		4637.77				1.0			0.0	188.0600000000004
2412	182040771	182040771	7500.0	4353.39	2016-08-22 02:37:16	113.4	34th BBQ #214431	US	US	02	01	food	10/2022	2012-03-21	2016-07-25	323	323	7308	REVERSAL	0.0		3146.61				1.0			0.0	113.40000000000009
2415	182040771	182040771	7500.0	1815.4	2016-09-02 01:21:04	64.59	Boston Bistro	US	US	05	01	food	09/2026	2012-03-21	2016-07-25	323	323	7308	REVERSAL	0.0		5684.6				1.0			0.0	64.59000000000015
2424	182040771	182040771	7500.0	3713.64	2016-10-09 01:30:30	6.68	South Steakhouse #485411	US	US	05	01	food	08/2026	2012-03-21	2016-07-25	323	323	7308	REVERSAL	0.0		3786.36				1.0			0.0	6.680000000000291
