	accountNumber	customerId	creditLimit	availableMoney	transactionDateTime	transactionAmount	merchantName	acqCountry	merchantCountryCode	posEntryMode	posConditionCode	merchantCategoryCode	currentExpDate	accountOpenDate	dateOfLastAddressChange	cardCVV	enteredCVV	cardLast4Digits	transactionType	isFraud	echoBuffer	currentBalance	merchantCity	merchantState	merchantZip	cardPresent	posOnPremises	recurringAuthInd	expirationDateKeyInMatch	currentBalanceDiff	transactionAmountDiff
49	782400169	782400169	15000.0	8507.83	2016-06-17 05:39:33	1.82	Downtown Sandwitch Bar	US	US	02	01	food	11/2022	2012-12-31	2012-12-31	978	978	5055	PURCHASE	0.0		6492.17				1.0			0.0	1.819999999999709	0.0
50	782400169	782400169	15000.0	8506.01	2016-06-17 05:41:19	1.82	Downtown Sandwitch Bar	US	US	02	01	food	11/2022	2012-12-31	2012-12-31	978	978	5055	PURCHASE	0.0		6493.99				1.0			0.0	1.819999999999709	0.0
57	738735439	738735439	500.0	122.58	2016-03-16 10:35:42	3.97	Subway #216536	US	US	05	01	fastfood	10/2023	2014-02-15	2014-02-15	729	729	6074	PURCHASE	0.0		377.42				1.0			0.0	3.9700000000000273	0.0
59	738735439	738735439	500.0	455.66	2016-03-18 14:23:58	615.17	Dunkin' Donuts #515185	US	US	09	01	fastfood	05/2025	2014-02-15	2014-02-15	729	729	6074	PURCHASE	1.0		44.34				1.0			0.0	-421.75	0.0
61	738735439	738735439	500.0	248.68	2016-04-23 11:53:33	18.68	Popeyes #766875	US	US	02	08	fastfood	08/2019	2014-02-15	2014-02-15	729	729	6074	PURCHASE	0.0		251.32				1.0			0.0	18.680000000000007	0.0
66	738735439	738735439	500.0	61.29	2016-07-26 09:55:01	18.29	Wendys #977675	US	US	05	01	fastfood	07/2022	2014-02-15	2016-05-20	729	729	6074	PURCHASE	0.0		438.71				1.0			0.0	18.289999999999964	0.0
68	738735439	738735439	500.0	95.17	2016-07-27 21:42:21	56.79	Tim Hortons #989270	US	US	09	01	fastfood	04/2031	2014-02-15	2016-05-20	729	729	6074	PURCHASE	0.0		404.83				0.0			0.0	56.789999999999964	0.0
75	206257508	206257508	15000.0	3510.39	2016-11-30 10:32:39	200.8	Lyft	US	US	05	01	rideshare	03/2023	2013-10-15	2016-02-09	447	447	4308	PURCHASE	0.0		11489.61				0.0			0.0	200.8000000000011	0.0
77	600983432	600983432	2500.0	2310.74	2016-02-11 16:44:48	94.63	Quizno's #30907	US	US	05	08	fastfood	12/2029	2014-06-04	2014-06-04	915	915	6949	PURCHASE	0.0		189.26				1.0			0.0	94.63	0.0
78	465152850	465152850	50000.0	49785.7	2016-10-01 18:15:05	214.3	Subway #674422	US	US	02	08	fastfood	08/2030	2010-09-21	2010-09-21	100	100	9542	PURCHASE	0.0		214.3				1.0			0.0	214.3	0.0
79	465152850	465152850	50000.0	49660.24	2016-12-20 11:34:17	25.79	sears.com	US	US	05	01	online_retail	11/2021	2010-09-21	2010-09-21	100	100	9542	PURCHASE	0.0		339.76				0.0			0.0	25.789999999999964	0.0
106	715759469	715759469	7500.0	4872.58	2016-10-04 08:01:55	89.09	ebay.com	US	US	09	01	online_retail	09/2028	2015-11-02	2015-11-02	610	610	8194	PURCHASE	0.0		2627.42				0.0			0.0	89.09000000000015	0.0
109	513859788	513859788	2500.0	2085.68	2016-08-18 01:36:56	22.19	AMC #606218	US	US	09	08	entertainment	05/2020	2015-11-25	2015-11-25	553	553	5655	PURCHASE	0.0		414.32				1.0			0.0	22.189999999999998	0.0
114	977020033	977020033	15000.0	14055.69	2016-01-19 11:59:43	23.56	discount.com	US	US	05	01	online_retail	09/2031	2010-01-29	2010-01-29	626	626	6378	PURCHASE	0.0		944.31				0.0			0.0	23.559999999999945	0.0
115	767113679	767113679	1000.0	92.1	2016-03-13 00:46:11	5.34	Hilton Hotels #89655	US	US	02	08	hotels	11/2026	2010-10-13	2010-10-13	940	940	6209	PURCHASE	0.0		907.9				0.0			0.0	5.340000000000032	0.0
116	767113679	767113679	1000.0	637.69	2016-05-02 16:03:22	145.64	Rodeway Inn #405343	US	US	02	08	hotels	09/2028	2010-10-13	2010-10-13	436	436	6154	PURCHASE	0.0		362.31				1.0			0.0	145.64000000000001	0.0
119	767113679	767113679	1000.0	384.81	2016-05-24 09:55:11	68.75	Hyatt House #372646	US	US	05	01	hotels	06/2027	2010-10-13	2010-10-13	436	436	6154	PURCHASE	0.0		615.19				1.0			0.0	68.75	0.0
120	767113679	767113679	1000.0	316.06	2016-05-24 09:56:06	68.75	Hyatt House #372646	US	US	05	01	hotels	06/2027	2010-10-13	2010-10-13	436	436	6154	PURCHASE	0.0		683.94				1.0			0.0	68.75	0.0
121	767113679	767113679	1000.0	582.14	2016-05-25 17:57:14	153.34	Rodeway Inn #856238	US	US	02	01	hotels	03/2024	2010-10-13	2010-10-13	940	940	6209	PURCHASE	0.0		417.86				0.0			0.0	153.34000000000003	0.0
124	767113679	767113679	1000.0	343.81	2016-08-15 08:39:51	157.41	Rodeway Inn #987870	US	US	09	01	hotels	05/2020	2010-10-13	2010-10-13	436	436	6154	PURCHASE	0.0		656.19				1.0			0.0	-207.06999999999994	0.0
125	767113679	767113679	1000.0	344.09	2016-08-22 03:27:14	66.89	Renaissance Hotel #475265	US	US	09	01	hotels	02/2024	2010-10-13	2010-10-13	436	436	6154	PURCHASE	0.0		655.91				1.0			0.0	66.88999999999999	0.0
126	767113679	767113679	1000.0	277.2	2016-08-22 03:28:58	66.89	Renaissance Hotel #475265	US	US	09	01	hotels	02/2024	2010-10-13	2010-10-13	436	436	6154	PURCHASE	0.0		722.8				1.0			0.0	66.88999999999999	0.0
134	639996000	639996000	20000.0	19727.02	2016-05-22 15:45:02	32.05	EZ Putt Putt #40513	US	US	05	01	entertainment	07/2018	2015-11-25	2015-11-25	268	268	9380	PURCHASE	0.0		272.98				1.0			0.0	-32.049999999999955	0.0
140	398189423	398189423	250.0	250.0	2016-05-21 03:31:36	142.2	Ray's Fries #153092	US	US	02	01	food	07/2026	2012-06-13	2016-04-26	807	807	7408	PURCHASE	0.0		0.0				1.0			0.0	-143.12	0.0
144	398189423	398189423	250.0	250.0	2016-06-24 20:38:08	242.71	Uptown BBQ	US	US	02	01	food	07/2021	2012-06-13	2016-04-26	807	807	7408	PURCHASE	0.0		0.0				1.0			0.0	0.0	0.0
155	492565763	492565763	7500.0	7306.4	2016-05-06 01:16:38	75.02	Lyft	US	US	05	08	rideshare	04/2025	2015-10-27	2015-10-27	256	256	3194	PURCHASE	0.0		193.6				0.0			0.0	75.02	0.0
157	492565763	492565763	7500.0	1753.62	2016-09-23 10:58:57	2.63	Lyft	US	US	09	01	rideshare	01/2022	2015-10-27	2016-09-22	256	256	3194	PURCHASE	0.0		5746.38				0.0			0.0	2.630000000000109	0.0
160	492565763	492565763	7500.0	3827.23	2016-12-13 22:47:03	39.19	Lyft	US	US	09	08	rideshare	09/2019	2015-10-27	2016-10-25	911	911	3882	PURCHASE	0.0		3672.77				0.0			0.0	39.190000000000055	0.0
186	482116034	482116034	250.0	133.9	2016-11-10 05:55:38	107.88	Dinosaur Sandwitch Bar #249717	US	US	05	01	food	03/2024	2013-03-06	2016-10-31	830	830	7803	PURCHASE	0.0		116.1				1.0			0.0	107.88	0.0
189	946817886	946817886	50000.0	48443.48	2016-04-16 15:52:20	27.3	Taco Bell #669390	US	US	02	01	fastfood	02/2020	2014-04-14	2014-04-14	645	645	3822	PURCHASE	0.0		1556.52				0.0			0.0	27.299999999999955	0.0
191	946817886	946817886	50000.0	44424.67	2016-05-28 11:52:27	75.44	Subway #596207	US	US	05	01	fastfood	04/2029	2014-04-14	2014-04-14	645	645	3822	PURCHASE	0.0		5575.33				1.0			0.0	75.4399999999996	0.0
193	795062501	795062501	2500.0	400.35	2016-02-23 22:50:14	110.04	ebay.com	US	US	09	01	online_retail	11/2027	2015-12-25	2015-12-25	740	740	193	PURCHASE	0.0		2099.65				0.0			0.0	110.04000000000019	0.0
200	795062501	795062501	2500.0	1664.78	2016-11-10 16:22:20	161.55	staples.com	US	US	02	01	online_retail	02/2031	2015-12-25	2015-12-25	740	740	193	PURCHASE	0.0		835.22				0.0			0.0	161.55000000000007	0.0
203	753278309	753278309	5000.0	2807.97	2016-03-30 11:17:13	87.62	Walgreens #733926	US	US	80	01	health	06/2027	2011-06-09	2011-06-09	495	495	1091	PURCHASE	0.0		2192.03				0.0			0.0	87.62000000000035	0.0
204	753278309	753278309	5000.0	2276.69	2016-04-20 21:43:15	71.89	amazon.com	US	US	09	01	online_retail	04/2029	2011-06-09	2016-04-02	495	495	1091	PURCHASE	0.0		2723.31				0.0			0.0	71.88999999999987	0.0
222	689712359	689712359	5000.0	4936.12	2016-10-02 08:11:01	63.88	Fresh Flowers	US	US	05	01	online_gifts	08/2022	2015-06-02	2015-06-02	273	273	0000	PURCHASE	0.0		63.88				0.0			0.0	63.88	0.0
228	548642066	548642066	20000.0	18870.4	2016-06-08 07:10:44	28.5	AMC #692956	US	US	05	08	entertainment	01/2032	2014-11-19	2014-11-19	261	261	8199	PURCHASE	0.0		1129.6				1.0			0.0	28.5	0.0
229	548642066	548642066	20000.0	18345.11	2016-07-11 09:06:29	38.86	EZ Putt Putt #804489	US	US	05	08	entertainment	01/2030	2014-11-19	2014-11-19	936	936	9640	PURCHASE	0.0		1654.89				1.0			0.0	38.86000000000013	0.0
235	858528314	858528314	7500.0	791.19	2016-09-26 09:59:14	155.18	Hilton Hotels #720012	US	US	02	01	hotels	12/2026	2015-06-21	2016-03-16	144	144	4562	PURCHASE	0.0		6708.81				0.0			0.0	155.1800000000003	0.0
246	561726361	561726361	15000.0	14809.44	2016-03-06 05:17:05	138.07	alibaba.com	US	US	09	01	online_retail	08/2020	2013-11-10	2013-11-10	248	248	9872	PURCHASE	0.0		190.56				0.0			0.0	138.07	0.0
250	715174660	715174660	15000.0	11833.88	2016-03-23 13:47:58	84.74	Subway #944279	US	US	05	01	fastfood	09/2031	2014-02-15	2014-02-15	136	136	2417	PURCHASE	0.0		3166.12				1.0			0.0	84.73999999999978	0.0
256	295327303	295327303	50000.0	43402.91	2016-06-27 04:30:09	88.39	AMC #191138	US	US	05	01	entertainment	08/2027	2015-08-01	2015-08-01	846	846	9072	PURCHASE	0.0		6597.09				0.0			0.0	88.39000000000033	0.0
263	994843347	994843347	1000.0	354.04	2016-06-05 07:50:07	210.45	oldnavy.com	US	US	09	01	online_retail	02/2022	2014-09-05	2014-09-05	162	162	503	PURCHASE	0.0		645.96				0.0			0.0	210.45000000000005	0.0
291	461031328	461031328	2500.0	1522.72	2016-01-17 04:18:38	49.82	In-N-Out #822281	US	US	05	01	fastfood	05/2019	2013-11-12	2013-11-12	483	483	7332	PURCHASE	0.0		977.28				1.0			0.0	49.819999999999936	0.0
304	331350937	331350937	1000.0	600.75	2016-06-01 17:58:53	106.16	alibaba.com	US	US	09	01	online_retail	11/2021	2013-08-19	2013-08-19	286	286	2135	PURCHASE	0.0		399.25				0.0			0.0	106.16000000000003	0.0
311	583031753	583031753	5000.0	4713.59	2016-03-06 03:48:08	119.13	staples.com	US	US	02	01	online_retail	05/2027	2013-11-26	2013-11-26	846	846	3495	PURCHASE	0.0		286.41				0.0			0.0	119.13000000000002	0.0
321	351092180	351092180	2500.0	811.63	2016-04-13 10:46:09	68.44	South Steakhouse #796913	US	US	05	01	food	09/2031	2015-08-18	2015-08-18	565	565	4204	PURCHASE	0.0		1688.37				1.0			0.0	68.43999999999983	0.0
323	351092180	351092180	2500.0	301.04	2016-09-26 02:41:53	108.73	1st BBQ	US	US	02	01	food	01/2022	2015-08-18	2015-08-18	565	565	4204	PURCHASE	0.0		2198.96				1.0			0.0	108.73000000000002	0.0
324	351092180	351092180	2500.0	1601.6	2016-10-02 13:49:02	43.09	Uptown Diner	US	US	05	08	food	09/2018	2015-08-18	2015-08-18	565	565	4204	PURCHASE	0.0		898.4				1.0			0.0	43.09000000000003	0.0
325	351092180	351092180	2500.0	2500.0	2016-10-28 02:05:38	780.21	Lyft	US	US	05	01	rideshare	12/2024	2015-08-18	2015-08-18	565	565	4204	PURCHASE	0.0		0.0				0.0			0.0	-1907.96	0.0
328	302122307	302122307	250.0	139.46	2016-09-23 11:40:14	14.49	AMC #692956	US	US	02	01	entertainment	06/2019	2012-07-14	2012-07-14	533	533	1186	PURCHASE	0.0		110.54				1.0			0.0	14.490000000000009	0.0
332	458394120	458394120	5000.0	381.21	2016-09-29 22:34:45	38.43	Fresh Flowers	US	US	05	01	online_gifts	08/2018	2014-10-09	2014-10-09	613	613	9939	PURCHASE	0.0		4618.79				0.0			0.0	38.43000000000029	0.0
334	458394120	458394120	5000.0	3720.91	2016-12-02 02:35:26	79.82	walmart.com	US	US	09	08	online_retail	05/2021	2014-10-09	2014-10-09	613	613	9939	PURCHASE	0.0		1279.09				0.0			0.0	79.81999999999994	0.0
353	824423647	824423647	2500.0	1948.84	2016-01-11 05:02:34	1246.59	oldnavy.com	US	US	05	01	online_retail	03/2028	2014-08-22	2016-01-03	226	226	6606	PURCHASE	0.0		551.16				0.0			0.0	-742.1899999999999	0.0
354	824423647	824423647	2500.0	990.89	2016-01-26 17:57:12	127.96	gap.com	US	US	09	01	online_retail	04/2022	2014-08-22	2016-01-03	226	226	6606	PURCHASE	0.0		1509.11				0.0			0.0	127.95999999999981	0.0
355	824423647	824423647	2500.0	1039.61	2016-01-29 00:54:30	132.87	Regal Cinemas #05791	US	US	09	01	entertainment	06/2029	2014-08-22	2016-01-27	226	226	6606	PURCHASE	0.0		1460.39				1.0			0.0	132.87000000000012	0.0
359	824423647	824423647	2500.0	600.02	2016-03-10 12:44:28	23.34	AMC #724446	US	US	05	01	entertainment	08/2023	2014-08-22	2016-03-06	226	226	6606	PURCHASE	0.0		1899.98				1.0			0.0	23.339999999999918	0.0
364	824423647	824423647	2500.0	1396.13	2016-04-18 21:18:10	86.09	oldnavy.com	US	US	05	01	online_retail	12/2018	2014-08-22	2016-03-06	226	226	6606	PURCHASE	0.0		1103.87				0.0			0.0	86.08999999999992	0.0
366	824423647	824423647	2500.0	1375.95	2016-04-27 15:51:37	77.97	amazon.com	US	US	05	01	online_retail	05/2025	2014-08-22	2016-03-06	226	226	6606	PURCHASE	0.0		1124.05				0.0			0.0	77.97000000000003	0.0
370	824423647	824423647	2500.0	1086.43	2016-07-08 04:48:53	24.38	AMC #191138	US	US	80	01	entertainment	05/2024	2014-08-22	2016-07-07	226	226	6606	PURCHASE	0.0		1413.57				1.0			0.0	24.37999999999988	0.0
374	824423647	824423647	2500.0	2342.98	2016-09-02 02:17:31	99.43	AMC #191138	US	US	05	01	entertainment	02/2026	2014-08-22	2016-07-07	226	226	6606	PURCHASE	0.0		157.02				1.0			0.0	99.43	0.0
381	824423647	824423647	2500.0	641.17	2016-10-28 16:22:59	16.78	target.com	US	US	05	01	online_retail	10/2028	2014-08-22	2016-07-07	226	226	6606	PURCHASE	0.0		1858.83				0.0			0.0	16.779999999999973	0.0
385	824423647	824423647	2500.0	732.94	2016-12-14 11:50:52	25.53	alibaba.com		US	09	01	online_retail	06/2018	2014-08-22	2016-11-20	226	226	6606	PURCHASE	0.0		1767.06				0.0			0.0	25.529999999999973	0.0
386	824423647	824423647	2500.0	707.41	2016-12-14 11:51:27	25.53	alibaba.com		US	09	01	online_retail	06/2018	2014-08-22	2016-11-20	226	226	6606	PURCHASE	0.0		1792.59				0.0			0.0	25.529999999999973	0.0
406	379203135	379203135	5000.0	1416.32	2016-05-13 05:55:17	325.6	Convenient Repair	US	US	09	01	auto	04/2022	2006-10-09	2006-10-09	788	788	2528	PURCHASE	0.0		3583.68				1.0			0.0	325.5999999999999	0.0
411	878527525	878527525	5000.0	3733.03	2016-09-06 12:23:27	35.47	In-N-Out #612798	US	US	09	01	fastfood	03/2020	2014-03-30	2016-03-03	764	764	7695	PURCHASE	0.0		1266.97				1.0			0.0	35.47000000000003	0.0
417	383968028	383968028	7500.0	4417.53	2016-03-26 12:51:47	108.22	Dallas Journal	US	US	02	01	subscriptions	02/2021	2011-01-18	2016-03-26	794	794	5785	PURCHASE	0.0		3082.47				0.0			0.0	108.2199999999998	0.0
420	383968028	383968028	7500.0	6407.12	2016-05-14 16:52:16	104.69	Raymour Flanigan	US	US	02	01	furniture	10/2021	2011-01-18	2016-03-26	794	794	5785	PURCHASE	0.0		1092.88				1.0			0.0	104.69000000000005	0.0
422	383968028	383968028	7500.0	6236.37	2016-09-12 08:17:13	189.53	Washington News	US	US	09	01	subscriptions	01/2023	2011-01-18	2016-03-26	794	794	5785	PURCHASE	0.0		1263.63				0.0			0.0	189.5300000000002	0.0
424	182040771	182040771	7500.0	5317.28	2016-01-04 22:56:01	192.52	Uber	US	US	05	01	rideshare	12/2020	2012-03-21	2012-03-21	323	323	7308	PURCHASE	0.0		2182.72				0.0			0.0	192.51999999999975	0.0
432	182040771	182040771	7500.0	1843.58	2016-04-06 10:34:58	32.76	South Steakhouse #485411	US	US	05	01	food	04/2021	2012-03-21	2016-02-03	323	323	7308	PURCHASE	0.0		5656.42				0.0			0.0	32.76000000000022	0.0
436	182040771	182040771	7500.0	6018.3	2016-05-19 07:40:44	242.0	Blue Mountain eCards	US	US	05	01	online_gifts	06/2028	2012-03-21	2016-02-03	323	323	7308	PURCHASE	0.0		1481.7				0.0			0.0	242.0	0.0
439	182040771	182040771	7500.0	862.23	2016-05-28 23:55:46	107.39	Blue Mountain eCards	US	US	09	01	online_gifts	05/2031	2012-03-21	2016-02-03	323	323	7308	PURCHASE	0.0		6637.77				0.0			0.0	107.39000000000033	0.0
442	182040771	182040771	7500.0	4095.46	2016-07-12 21:36:26	150.74	Franks Pub #934222	US	US	02	01	food	01/2025	2012-03-21	2016-06-23	323	323	7308	PURCHASE	1.0		3404.54				1.0			0.0	-3690.6400000000003	0.0
443	182040771	182040771	7500.0	3944.72	2016-07-12 21:37:59	150.74	Franks Pub #934222	US	US	02	01	food	01/2025	2012-03-21	2016-06-23	323	323	7308	PURCHASE	1.0		3555.28				1.0			0.0	150.74000000000024	0.0
445	182040771	182040771	7500.0	2947.07	2016-07-14 19:37:33	103.22	South Sandwitch Bar	US	US	09	08	food	07/2028	2012-03-21	2016-06-23	323	323	7308	PURCHASE	0.0		4552.93				1.0			0.0	103.22000000000025	0.0
449	182040771	182040771	7500.0	2156.18	2016-08-30 07:59:30	161.27	South Sandwitch Bar	US	US	02	01	food	06/2029	2012-03-21	2016-07-25	323	323	7308	PURCHASE	0.0		5343.82				1.0			0.0	161.26999999999953	0.0
451	182040771	182040771	7500.0	4174.89	2016-09-30 16:36:13	379.17	John's Cafe	US	US	02	08	food	07/2022	2012-03-21	2016-07-25	323	323	7308	PURCHASE	0.0		3325.11				1.0			0.0	379.1700000000001	0.0
460	417549733	417549733	2500.0	1366.74	2016-03-18 03:00:11	18.66	gap.com	US	US	09	01	online_retail	08/2029	2015-02-16	2015-02-16	475	475	0000	PURCHASE	0.0		1133.26				0.0			0.0	18.660000000000082	0.0
461	417549733	417549733	2500.0	2449.32	2016-05-13 01:55:32	117.46	staples.com	US	US	05	08	online_retail	03/2023	2015-02-16	2015-02-16	475	475	0000	PURCHASE	0.0		50.68				0.0			0.0	-2241.65	0.0
477	462201332	462201332	7500.0	2826.12	2016-02-11 03:22:08	54.91	EZ Putt Putt #40513	US	US	05	01	entertainment	11/2026	2005-01-16	2005-01-16	328	328	3716	PURCHASE	0.0		4673.88				1.0			0.0	54.909999999999854	0.0
479	462201332	462201332	7500.0	2632.67	2016-05-02 16:13:45	19.02	San Francisco Post	US	US	80	01	subscriptions	08/2023	2005-01-16	2016-03-24	328	328	3716	PURCHASE	0.0		4867.33				0.0			0.0	19.019999999999527	0.0
480	462201332	462201332	7500.0	2613.65	2016-05-02 16:14:12	19.02	San Francisco Post	US	US	80	01	subscriptions	08/2023	2005-01-16	2016-03-24	328	328	3716	PURCHASE	0.0		4886.35				0.0			0.0	19.020000000000437	0.0
481	462201332	462201332	7500.0	1146.34	2016-05-20 16:50:10	152.84	AMC #606218	US	US	02	08	entertainment	08/2028	2005-01-16	2016-03-24	328	328	3716	PURCHASE	0.0		6353.66				0.0			0.0	152.84000000000015	0.0
483	462201332	462201332	7500.0	4274.15	2016-06-02 23:02:17	165.66	Hardee's #611074	US	US	02	01	fastfood	03/2020	2005-01-16	2016-03-24	328	328	3716	PURCHASE	0.0		3225.85				1.0			0.0	165.65999999999985	0.0
486	462201332	462201332	7500.0	1381.67	2016-10-19 22:54:50	14.21	EZ Putt Putt #240241	US	US	05	01	entertainment	08/2024	2005-01-16	2016-07-28	328	328	3716	PURCHASE	0.0		6118.33				1.0			0.0	14.210000000000036	0.0
496	942856850	942856850	20000.0	12594.75	2016-11-01 03:02:48	146.29	Burger King #734927	US	US		01	fastfood	11/2024	2014-10-24	2014-10-24	592	592	5863	PURCHASE	0.0		7405.25				1.0			0.0	146.28999999999996	0.0
497	362748229	362748229	2500.0	2238.31	2016-01-31 18:25:38	43.16	target.com	US	US	02	08	online_retail	06/2022	2014-11-25	2014-11-25	564	564	7280	PURCHASE	0.0		261.69				0.0			0.0	43.16	0.0
499	936848580	936848580	2500.0	1124.85	2016-08-17 14:53:59	12.19	oldnavy.com	US	US	90	01	online_retail	07/2029	2012-11-04	2012-11-04	890	890	459	PURCHASE	0.0		1375.15				0.0			0.0	12.190000000000055	0.0
507	755231026	755231026	15000.0	14310.72	2016-12-10 06:11:35	358.37	NY News	US	US	05	01	subscriptions	03/2030	2015-12-06	2015-12-06	419	419	5987	PURCHASE	0.0		689.28				0.0			0.0	358.36999999999995	0.0
508	889484437	889484437	20000.0	15168.06	2016-01-23 19:15:00	36.02	ebay.com	US	US	05	01	online_retail	11/2028	2014-06-08	2016-01-09	389	389	6335	PURCHASE	0.0		4831.94				0.0			0.0	36.01999999999953	0.0
513	889484437	889484437	20000.0	13752.42	2016-06-22 12:08:11	262.66	Hardee's #940832	US	US	90	01	fastfood	02/2022	2014-06-08	2016-05-21	220	220	9795	PURCHASE	0.0		6247.58				1.0			0.0	262.65999999999985	0.0
514	889484437	889484437	20000.0	3716.03	2016-12-04 01:22:50	177.11	Planet Fitness #351587	US	US	02	01	health	05/2020	2014-06-08	2016-11-03	324	324	7054	PURCHASE	0.0		16283.97				0.0			0.0	177.10999999999876	0.0
516	578137230	578137230	7500.0	7406.84	2016-02-12 12:52:18	53.19	discount.com	US	US	05	01	online_retail	01/2025	2015-08-14	2015-08-14	861	861	1237	PURCHASE	0.0		93.16				0.0			0.0	53.19	0.0
524	837334537	837334537	15000.0	13647.1	2016-02-28 01:25:06	64.05	Uber	US	US	09	01	rideshare	11/2024	2015-05-26	2015-05-26	545	545	9595	PURCHASE	0.0		1352.9				0.0			0.0	64.05000000000018	0.0
534	498535126	498535126	500.0	471.46	2016-01-19 00:19:52	22.95	Seattle News	US	US	02	99	subscriptions	02/2026	2010-05-11	2016-01-09	875	875	1181	PURCHASE	0.0		28.54				1.0			0.0	22.95	0.0
540	498535126	498535126	500.0	442.04	2016-10-14 00:04:01	96.08	Washington Post	US	US	05	01	subscriptions	08/2030	2010-05-11	2016-08-16	875	875	1181	PURCHASE	0.0		57.96				0.0			0.0	-371.12	0.0
591	229446095	229446095	10000.0	9012.78	2016-05-02 19:39:51	42.58	sears.com	US	US	02	01	online_retail	08/2026	2012-09-02	2012-09-02	329	329	2316	PURCHASE	0.0		987.22				0.0			0.0	42.58000000000004	0.0
592	229446095	229446095	10000.0	8887.81	2016-05-11 05:25:35	47.1	amazon.com	US	US	05	01	online_retail	03/2022	2012-09-02	2012-09-02	329	329	2316	PURCHASE	0.0		1112.19				0.0			0.0	47.100000000000136	0.0
593	229446095	229446095	10000.0	8840.71	2016-05-11 05:26:31	47.1	amazon.com	US	US	05	01	online_retail	03/2022	2012-09-02	2012-09-02	329	329	2316	PURCHASE	0.0		1159.29				0.0			0.0	47.09999999999991	0.0
596	102307135	102307135	20000.0	19434.48	2016-05-24 22:54:22	255.05	Universe Massage #777394	US	US	09	08	personal care	10/2022	2014-08-02	2014-08-02	619	619	4956	PURCHASE	0.0		565.52				1.0			0.0	255.04999999999995	0.0
617	599682841	599682841	15000.0	14675.67	2016-10-24 19:27:07	64.61	Downtown BBQ	US	US	09	01	food	01/2028	2011-11-06	2016-06-07	942	942	897	PURCHASE	0.0		324.33				1.0			0.0	64.60999999999996	0.0
